"STE_CODE16","age_group","sex","year_range","days_exercise_last_week","p","uncertainty"
1,"18-24","male","2017-2018","none",7,0
1,"18-24","male","2017-2018","1–4",45,1
1,"18-24","male","2017-2018","5–6",21.8,1
1,"18-24","male","2017-2018","7",16.3,0
1,"18-24","male","2017-2018","5_or_more",44.8,1
1,"18-24","male","2017-2018","total",100,0
2,"18-24","male","2017-2018","none",8.7,0
2,"18-24","male","2017-2018","1–4",47.2,1
2,"18-24","male","2017-2018","5–6",26.4,1
2,"18-24","male","2017-2018","7",20.6,0
2,"18-24","male","2017-2018","5_or_more",46.9,1
2,"18-24","male","2017-2018","total",100,0
3,"18-24","male","2017-2018","none",13.1,0
3,"18-24","male","2017-2018","1–4",43.7,0
3,"18-24","male","2017-2018","5–6",22.2,0
3,"18-24","male","2017-2018","7",13.3,0
3,"18-24","male","2017-2018","5_or_more",36.9,1
3,"18-24","male","2017-2018","total",100,0
4,"18-24","male","2017-2018","none",2.3,1
4,"18-24","male","2017-2018","1–4",41.8,1
4,"18-24","male","2017-2018","5–6",39.3,1
4,"18-24","male","2017-2018","7",21,1
4,"18-24","male","2017-2018","5_or_more",58.6,1
4,"18-24","male","2017-2018","total",100,0
5,"18-24","male","2017-2018","none",4.5,1
5,"18-24","male","2017-2018","1–4",53.9,1
5,"18-24","male","2017-2018","5–6",31.6,1
5,"18-24","male","2017-2018","7",20,1
5,"18-24","male","2017-2018","5_or_more",47.5,1
5,"18-24","male","2017-2018","total",100,0
6,"18-24","male","2017-2018","none",9,1
6,"18-24","male","2017-2018","1–4",57.1,1
6,"18-24","male","2017-2018","5–6",17.6,1
6,"18-24","male","2017-2018","7",10.3,1
6,"18-24","male","2017-2018","5_or_more",30.9,1
6,"18-24","male","2017-2018","total",100,0
7,"18-24","male","2017-2018","none",10.7,1
7,"18-24","male","2017-2018","1–4",20,1
7,"18-24","male","2017-2018","5–6",36,1
7,"18-24","male","2017-2018","7",32,1
7,"18-24","male","2017-2018","5_or_more",54.7,1
7,"18-24","male","2017-2018","total",100,0
8,"18-24","male","2017-2018","none",23.2,1
8,"18-24","male","2017-2018","1–4",64.9,1
8,"18-24","male","2017-2018","5–6",18.9,1
8,"18-24","male","2017-2018","7",0,0
8,"18-24","male","2017-2018","5_or_more",38.9,1
8,"18-24","male","2017-2018","total",100,0
1,"18-24","female","2017-2018","none",3.2,1
1,"18-24","female","2017-2018","1–4",44.2,1
1,"18-24","female","2017-2018","5–6",39.1,1
1,"18-24","female","2017-2018","7",17.1,0
1,"18-24","female","2017-2018","5_or_more",57.2,1
1,"18-24","female","2017-2018","total",100,0
2,"18-24","female","2017-2018","none",4.3,1
2,"18-24","female","2017-2018","1–4",43.4,1
2,"18-24","female","2017-2018","5–6",19.4,0
2,"18-24","female","2017-2018","7",19.9,0
2,"18-24","female","2017-2018","5_or_more",43.2,1
2,"18-24","female","2017-2018","total",100,0
3,"18-24","female","2017-2018","none",14.4,0
3,"18-24","female","2017-2018","1–4",42.3,1
3,"18-24","female","2017-2018","5–6",26.6,0
3,"18-24","female","2017-2018","7",13.4,0
3,"18-24","female","2017-2018","5_or_more",42.6,1
3,"18-24","female","2017-2018","total",100,0
4,"18-24","female","2017-2018","none",14.3,1
4,"18-24","female","2017-2018","1–4",67.2,1
4,"18-24","female","2017-2018","5–6",19.4,1
4,"18-24","female","2017-2018","7",15.3,1
4,"18-24","female","2017-2018","5_or_more",31,1
4,"18-24","female","2017-2018","total",100,0
5,"18-24","female","2017-2018","none",9.1,1
5,"18-24","female","2017-2018","1–4",59.5,1
5,"18-24","female","2017-2018","5–6",20.2,1
5,"18-24","female","2017-2018","7",13.1,1
5,"18-24","female","2017-2018","5_or_more",41.7,1
5,"18-24","female","2017-2018","total",100,0
6,"18-24","female","2017-2018","none",16.4,1
6,"18-24","female","2017-2018","1–4",51.2,1
6,"18-24","female","2017-2018","5–6",23.4,1
6,"18-24","female","2017-2018","7",6,1
6,"18-24","female","2017-2018","5_or_more",40.3,1
6,"18-24","female","2017-2018","total",100,0
7,"18-24","female","2017-2018","none",17.5,1
7,"18-24","female","2017-2018","1–4",49.2,1
7,"18-24","female","2017-2018","5–6",36.5,1
7,"18-24","female","2017-2018","7",12.7,1
7,"18-24","female","2017-2018","5_or_more",44.4,1
7,"18-24","female","2017-2018","total",100,0
8,"18-24","female","2017-2018","none",6.7,1
8,"18-24","female","2017-2018","1–4",47.4,1
8,"18-24","female","2017-2018","5–6",26.3,1
8,"18-24","female","2017-2018","7",17.5,1
8,"18-24","female","2017-2018","5_or_more",43.8,1
8,"18-24","female","2017-2018","total",100,0
