"STE_CODE16","age_group","sex","year_range","days_exercise_last_week","n"
1,"18-24","all","2017-2018","none","37000"
1,"18-24","all","2017-2018","1–4","330800"
1,"18-24","all","2017-2018","5–6","220800"
1,"18-24","all","2017-2018","7","137900"
1,"18-24","all","2017-2018","5_or_more","340600"
2,"18-24","all","2017-2018","none","51300"
2,"18-24","all","2017-2018","1–4","277300"
2,"18-24","all","2017-2018","5–6","139200"
2,"18-24","all","2017-2018","7","131100"
2,"18-24","all","2017-2018","5_or_more","290900"
3,"18-24","all","2017-2018","none","76200"
3,"18-24","all","2017-2018","1–4","196400"
3,"18-24","all","2017-2018","5–6","122000"
3,"18-24","all","2017-2018","7","69700"
3,"18-24","all","2017-2018","5_or_more","184800"
4,"18-24","all","2017-2018","none","9800"
4,"18-24","all","2017-2018","1–4","80400"
4,"18-24","all","2017-2018","5–6","41700"
4,"18-24","all","2017-2018","7","24000"
4,"18-24","all","2017-2018","5_or_more","64200"
5,"18-24","all","2017-2018","none","15400"
5,"18-24","all","2017-2018","1–4","106900"
5,"18-24","all","2017-2018","5–6","52400"
5,"18-24","all","2017-2018","7","36200"
5,"18-24","all","2017-2018","5_or_more","79400"
6,"18-24","all","2017-2018","none","7500"
6,"18-24","all","2017-2018","1–4","22200"
6,"18-24","all","2017-2018","5–6","9100"
6,"18-24","all","2017-2018","7","5100"
6,"18-24","all","2017-2018","5_or_more","15400"
7,"18-24","all","2017-2018","none","2500"
7,"18-24","all","2017-2018","1–4","5200"
7,"18-24","all","2017-2018","5–6","4000"
7,"18-24","all","2017-2018","7","2700"
7,"18-24","all","2017-2018","5_or_more","7400"
8,"18-24","all","2017-2018","none","5300"
8,"18-24","all","2017-2018","1–4","18000"
8,"18-24","all","2017-2018","5–6","10700"
8,"18-24","all","2017-2018","7","3300"
8,"18-24","all","2017-2018","5_or_more","16000"
1,"18-24","male","2017-2018","none","26300"
1,"18-24","male","2017-2018","1–4","169700"
1,"18-24","male","2017-2018","5–6","82400"
1,"18-24","male","2017-2018","7","61500"
1,"18-24","male","2017-2018","5_or_more","169200"
2,"18-24","male","2017-2018","none","27200"
2,"18-24","male","2017-2018","1–4","146800"
2,"18-24","male","2017-2018","5–6","82100"
2,"18-24","male","2017-2018","7","64000"
2,"18-24","male","2017-2018","5_or_more","145900"
3,"18-24","male","2017-2018","none","30100"
3,"18-24","male","2017-2018","1–4","100100"
3,"18-24","male","2017-2018","5–6","50900"
3,"18-24","male","2017-2018","7","30400"
3,"18-24","male","2017-2018","5_or_more","84600"
4,"18-24","male","2017-2018","none","1700"
4,"18-24","male","2017-2018","1–4","31200"
4,"18-24","male","2017-2018","5–6","29300"
4,"18-24","male","2017-2018","7","15700"
4,"18-24","male","2017-2018","5_or_more","43700"
5,"18-24","male","2017-2018","none","4800"
5,"18-24","male","2017-2018","1–4","57400"
5,"18-24","male","2017-2018","5–6","33700"
5,"18-24","male","2017-2018","7","21300"
5,"18-24","male","2017-2018","5_or_more","50600"
6,"18-24","male","2017-2018","none","2100"
6,"18-24","male","2017-2018","1–4","13300"
6,"18-24","male","2017-2018","5–6","4100"
6,"18-24","male","2017-2018","7","2400"
6,"18-24","male","2017-2018","5_or_more","7200"
7,"18-24","male","2017-2018","none","800"
7,"18-24","male","2017-2018","1–4","1500"
7,"18-24","male","2017-2018","5–6","2700"
7,"18-24","male","2017-2018","7","2400"
7,"18-24","male","2017-2018","5_or_more","4100"
8,"18-24","male","2017-2018","none","4300"
8,"18-24","male","2017-2018","1–4","12000"
8,"18-24","male","2017-2018","5–6","3500"
8,"18-24","male","2017-2018","7","NULL"
8,"18-24","male","2017-2018","5_or_more","7200"
1,"18-24","female","2017-2018","none","10900"
1,"18-24","female","2017-2018","1–4","150200"
1,"18-24","female","2017-2018","5–6","133100"
1,"18-24","female","2017-2018","7","58100"
1,"18-24","female","2017-2018","5_or_more","194400"
2,"18-24","female","2017-2018","none","13400"
2,"18-24","female","2017-2018","1–4","133800"
2,"18-24","female","2017-2018","5–6","59900"
2,"18-24","female","2017-2018","7","61300"
2,"18-24","female","2017-2018","5_or_more","133200"
3,"18-24","female","2017-2018","none","31400"
3,"18-24","female","2017-2018","1–4","92400"
3,"18-24","female","2017-2018","5–6","58100"
3,"18-24","female","2017-2018","7","29200"
3,"18-24","female","2017-2018","5_or_more","93100"
4,"18-24","female","2017-2018","none","10100"
4,"18-24","female","2017-2018","1–4","47500"
4,"18-24","female","2017-2018","5–6","13700"
4,"18-24","female","2017-2018","7","10800"
4,"18-24","female","2017-2018","5_or_more","21900"
5,"18-24","female","2017-2018","none","9100"
5,"18-24","female","2017-2018","1–4","59600"
5,"18-24","female","2017-2018","5–6","20200"
5,"18-24","female","2017-2018","7","13100"
5,"18-24","female","2017-2018","5_or_more","41700"
6,"18-24","female","2017-2018","none","3300"
6,"18-24","female","2017-2018","1–4","10300"
6,"18-24","female","2017-2018","5–6","4700"
6,"18-24","female","2017-2018","7","1200"
6,"18-24","female","2017-2018","5_or_more","8100"
7,"18-24","female","2017-2018","none","1100"
7,"18-24","female","2017-2018","1–4","3100"
7,"18-24","female","2017-2018","5–6","2300"
7,"18-24","female","2017-2018","7","800"
7,"18-24","female","2017-2018","5_or_more","2800"
8,"18-24","female","2017-2018","none","1300"
8,"18-24","female","2017-2018","1–4","9200"
8,"18-24","female","2017-2018","5–6","5100"
8,"18-24","female","2017-2018","7","3400"
8,"18-24","female","2017-2018","5_or_more","8500"
