"STE_CODE16","age_group","sex","year_range","min_pa_last_week","n","uncertainty"
1,"18-24","male","2017-2018","0_minutes",8400,2
1,"18-24","male","2017-2018","between_1_and_149_minutes",41800,1
1,"18-24","male","2017-2018","between_150_and_300_minutes",45300,1
1,"18-24","male","2017-2018","more_than_300_minutes",243600,0
1,"18-24","male","2017-2018","total_150_minutes_or_more",306300,0
2,"18-24","male","2017-2018","0_minutes",18100,1
2,"18-24","male","2017-2018","between_1_and_149_minutes",39800,1
2,"18-24","male","2017-2018","between_150_and_300_minutes",49400,1
2,"18-24","male","2017-2018","more_than_300_minutes",197000,0
2,"18-24","male","2017-2018","total_150_minutes_or_more",252100,0
3,"18-24","male","2017-2018","0_minutes",21500,1
3,"18-24","male","2017-2018","between_1_and_149_minutes",54300,0
3,"18-24","male","2017-2018","between_150_and_300_minutes",21400,1
3,"18-24","male","2017-2018","more_than_300_minutes",133400,0
3,"18-24","male","2017-2018","total_150_minutes_or_more",162200,0
4,"18-24","male","2017-2018","0_minutes",0,0
4,"18-24","male","2017-2018","between_1_and_149_minutes",16200,1
4,"18-24","male","2017-2018","between_150_and_300_minutes",20400,1
4,"18-24","male","2017-2018","more_than_300_minutes",46900,0
4,"18-24","male","2017-2018","total_150_minutes_or_more",56700,0
5,"18-24","male","2017-2018","0_minutes",6300,2
5,"18-24","male","2017-2018","between_1_and_149_minutes",7100,2
5,"18-24","male","2017-2018","between_150_and_300_minutes",6400,2
5,"18-24","male","2017-2018","more_than_300_minutes",94600,0
5,"18-24","male","2017-2018","total_150_minutes_or_more",97400,0
6,"18-24","male","2017-2018","0_minutes",2000,2
6,"18-24","male","2017-2018","between_1_and_149_minutes",4000,1
6,"18-24","male","2017-2018","between_150_and_300_minutes",2200,1
6,"18-24","male","2017-2018","more_than_300_minutes",14000,0
6,"18-24","male","2017-2018","total_150_minutes_or_more",14600,0
7,"18-24","male","2017-2018","0_minutes",0,0
7,"18-24","male","2017-2018","between_1_and_149_minutes",1300,1
7,"18-24","male","2017-2018","between_150_and_300_minutes",1300,1
7,"18-24","male","2017-2018","more_than_300_minutes",5400,0
7,"18-24","male","2017-2018","total_150_minutes_or_more",6100,0
8,"18-24","male","2017-2018","0_minutes",2000,2
8,"18-24","male","2017-2018","between_1_and_149_minutes",4500,1
8,"18-24","male","2017-2018","between_150_and_300_minutes",3300,2
8,"18-24","male","2017-2018","more_than_300_minutes",11100,0
8,"18-24","male","2017-2018","total_150_minutes_or_more",11100,0
1,"18-24","female","2017-2018","0_minutes",12800,2
1,"18-24","female","2017-2018","between_1_and_149_minutes",53300,1
1,"18-24","female","2017-2018","between_150_and_300_minutes",84500,0
1,"18-24","female","2017-2018","more_than_300_minutes",189500,0
1,"18-24","female","2017-2018","total_150_minutes_or_more",273100,0
2,"18-24","female","2017-2018","0_minutes",13400,2
2,"18-24","female","2017-2018","between_1_and_149_minutes",67200,0
2,"18-24","female","2017-2018","between_150_and_300_minutes",62600,1
2,"18-24","female","2017-2018","more_than_300_minutes",141300,0
2,"18-24","female","2017-2018","total_150_minutes_or_more",218200,0
3,"18-24","female","2017-2018","0_minutes",35900,0
3,"18-24","female","2017-2018","between_1_and_149_minutes",59700,0
3,"18-24","female","2017-2018","between_150_and_300_minutes",32000,1
3,"18-24","female","2017-2018","more_than_300_minutes",94700,0
3,"18-24","female","2017-2018","total_150_minutes_or_more",125000,0
4,"18-24","female","2017-2018","0_minutes",10100,1
4,"18-24","female","2017-2018","between_1_and_149_minutes",11100,1
4,"18-24","female","2017-2018","between_150_and_300_minutes",12600,1
4,"18-24","female","2017-2018","more_than_300_minutes",42500,0
4,"18-24","female","2017-2018","total_150_minutes_or_more",53000,0
5,"18-24","female","2017-2018","0_minutes",9000,2
5,"18-24","female","2017-2018","between_1_and_149_minutes",18100,1
5,"18-24","female","2017-2018","between_150_and_300_minutes",22800,1
5,"18-24","female","2017-2018","more_than_300_minutes",42900,0
5,"18-24","female","2017-2018","total_150_minutes_or_more",80800,0
6,"18-24","female","2017-2018","0_minutes",5100,1
6,"18-24","female","2017-2018","between_1_and_149_minutes",4200,1
6,"18-24","female","2017-2018","between_150_and_300_minutes",2500,2
6,"18-24","female","2017-2018","more_than_300_minutes",8700,0
6,"18-24","female","2017-2018","total_150_minutes_or_more",11000,0
7,"18-24","female","2017-2018","0_minutes",1000,1
7,"18-24","female","2017-2018","between_1_and_149_minutes",1400,1
7,"18-24","female","2017-2018","between_150_and_300_minutes",1500,1
7,"18-24","female","2017-2018","more_than_300_minutes",2900,0
7,"18-24","female","2017-2018","total_150_minutes_or_more",4600,0
8,"18-24","female","2017-2018","0_minutes",1300,2
8,"18-24","female","2017-2018","between_1_and_149_minutes",6200,0
8,"18-24","female","2017-2018","between_150_and_300_minutes",3400,1
8,"18-24","female","2017-2018","more_than_300_minutes",9700,0
8,"18-24","female","2017-2018","total_150_minutes_or_more",13900,0
