"STE_CODE16","age_group","sex","year_range","min_pa_last_week","n","p"
1,"18-24","male","2017-2018","0_minutes",9999999,"9999999"
1,"18-24","male","2017-2018","between_1_and_149_minutes",41800,"0.11"
1,"18-24","male","2017-2018","between_150_and_300_minutes",45300,"0.12"
1,"18-24","male","2017-2018","more_than_300_minutes",243600,"NULL"
1,"18-24","male","2017-2018","total_150_minutes_or_more",306300,"0.81"
2,"18-24","male","2017-2018","0_minutes",18100,"0.06"
2,"18-24","male","2017-2018","between_1_and_149_minutes",39800,"0.13"
2,"18-24","male","2017-2018","between_150_and_300_minutes",49400,"0.16"
2,"18-24","male","2017-2018","more_than_300_minutes",197000,"NULL"
2,"18-24","male","2017-2018","total_150_minutes_or_more",252100,"0.81"
3,"18-24","male","2017-2018","0_minutes",21500,"0.09"
3,"18-24","male","2017-2018","between_1_and_149_minutes",54300,"0.24"
3,"18-24","male","2017-2018","between_150_and_300_minutes",21400,"0.09"
3,"18-24","male","2017-2018","more_than_300_minutes",133400,"0.58"
3,"18-24","male","2017-2018","total_150_minutes_or_more",162200,"0.71"
4,"18-24","male","2017-2018","0_minutes",9999999,"9999999"
4,"18-24","male","2017-2018","between_1_and_149_minutes",16200,"NULL"
4,"18-24","male","2017-2018","between_150_and_300_minutes",20400,"NULL"
4,"18-24","male","2017-2018","more_than_300_minutes",46900,"NULL"
4,"18-24","male","2017-2018","total_150_minutes_or_more",56700,"NULL"
5,"18-24","male","2017-2018","0_minutes",9999999,"9999999"
5,"18-24","male","2017-2018","between_1_and_149_minutes",9999999,"9999999"
5,"18-24","male","2017-2018","between_150_and_300_minutes",9999999,"9999999"
5,"18-24","male","2017-2018","more_than_300_minutes",94600,"NULL"
5,"18-24","male","2017-2018","total_150_minutes_or_more",97400,"NULL"
6,"18-24","male","2017-2018","0_minutes",9999999,"9999999"
6,"18-24","male","2017-2018","between_1_and_149_minutes",4000,"NULL"
6,"18-24","male","2017-2018","between_150_and_300_minutes",2200,"0.09"
6,"18-24","male","2017-2018","more_than_300_minutes",14000,"NULL"
6,"18-24","male","2017-2018","total_150_minutes_or_more",14600,"NULL"
7,"18-24","male","2017-2018","0_minutes",9999999,"9999999"
7,"18-24","male","2017-2018","between_1_and_149_minutes",1300,"NULL"
7,"18-24","male","2017-2018","between_150_and_300_minutes",1300,"NULL"
7,"18-24","male","2017-2018","more_than_300_minutes",5400,"NULL"
7,"18-24","male","2017-2018","total_150_minutes_or_more",6100,"NULL"
8,"18-24","male","2017-2018","0_minutes",9999999,"9999999"
8,"18-24","male","2017-2018","between_1_and_149_minutes",4500,"NULL"
8,"18-24","male","2017-2018","between_150_and_300_minutes",9999999,"9999999"
8,"18-24","male","2017-2018","more_than_300_minutes",11100,"NULL"
8,"18-24","male","2017-2018","total_150_minutes_or_more",11100,"NULL"
1,"18-24","female","2017-2018","0_minutes",9999999,"9999999"
1,"18-24","female","2017-2018","between_1_and_149_minutes",53300,"0.16"
1,"18-24","female","2017-2018","between_150_and_300_minutes",84500,"NULL"
1,"18-24","female","2017-2018","more_than_300_minutes",189500,"NULL"
1,"18-24","female","2017-2018","total_150_minutes_or_more",273100,"0.8"
2,"18-24","female","2017-2018","0_minutes",9999999,"9999999"
2,"18-24","female","2017-2018","between_1_and_149_minutes",67200,"0.22"
2,"18-24","female","2017-2018","between_150_and_300_minutes",62600,"NULL"
2,"18-24","female","2017-2018","more_than_300_minutes",141300,"NULL"
2,"18-24","female","2017-2018","total_150_minutes_or_more",218200,"0.71"
3,"18-24","female","2017-2018","0_minutes",35900,"0.16"
3,"18-24","female","2017-2018","between_1_and_149_minutes",59700,"NULL"
3,"18-24","female","2017-2018","between_150_and_300_minutes",32000,"0.15"
3,"18-24","female","2017-2018","more_than_300_minutes",94700,"NULL"
3,"18-24","female","2017-2018","total_150_minutes_or_more",125000,"0.57"
4,"18-24","female","2017-2018","0_minutes",10100,"NULL"
4,"18-24","female","2017-2018","between_1_and_149_minutes",11100,"NULL"
4,"18-24","female","2017-2018","between_150_and_300_minutes",12600,"NULL"
4,"18-24","female","2017-2018","more_than_300_minutes",42500,"NULL"
4,"18-24","female","2017-2018","total_150_minutes_or_more",53000,"NULL"
5,"18-24","female","2017-2018","0_minutes",9999999,"9999999"
5,"18-24","female","2017-2018","between_1_and_149_minutes",18100,"NULL"
5,"18-24","female","2017-2018","between_150_and_300_minutes",22800,"NULL"
5,"18-24","female","2017-2018","more_than_300_minutes",42900,"NULL"
5,"18-24","female","2017-2018","total_150_minutes_or_more",80800,"NULL"
6,"18-24","female","2017-2018","0_minutes",5100,"NULL"
6,"18-24","female","2017-2018","between_1_and_149_minutes",4200,"NULL"
6,"18-24","female","2017-2018","between_150_and_300_minutes",9999999,"9999999"
6,"18-24","female","2017-2018","more_than_300_minutes",8700,"NULL"
6,"18-24","female","2017-2018","total_150_minutes_or_more",11000,"NULL"
7,"18-24","female","2017-2018","0_minutes",1000,"NULL"
7,"18-24","female","2017-2018","between_1_and_149_minutes",1400,"NULL"
7,"18-24","female","2017-2018","between_150_and_300_minutes",1500,"NULL"
7,"18-24","female","2017-2018","more_than_300_minutes",2900,"NULL"
7,"18-24","female","2017-2018","total_150_minutes_or_more",4600,"NULL"
8,"18-24","female","2017-2018","0_minutes",9999999,"9999999"
8,"18-24","female","2017-2018","between_1_and_149_minutes",6200,"NULL"
8,"18-24","female","2017-2018","between_150_and_300_minutes",3400,"NULL"
8,"18-24","female","2017-2018","more_than_300_minutes",9700,"NULL"
8,"18-24","female","2017-2018","total_150_minutes_or_more",13900,"NULL"
