"STE_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"1","all","0-16","2008-2012","20.8"
"1","all","0-16","2009-2013","19.8"
"1","all","0-16","2010-2014","15.8"
"1","all","0-16","2011-2015","16.6"
"1","all","0-16","2012-2016","16.4"
"1","all","0-16","2013-2017","15.8"
"1","all","0-16","2014-2018","15.6"
"1","all","0-16","2015-2019","15"
"1","all","0-16","2016-2020","13.6"
"1","all","0-16","2017-2021","13.4"
"1","all","0-16","2018-2022","12.8"
"2","all","0-16","2008-2012","15.8"
"2","all","0-16","2009-2013","14.8"
"2","all","0-16","2010-2014","14"
"2","all","0-16","2011-2015","14"
"2","all","0-16","2012-2016","11.2"
"2","all","0-16","2013-2017","10.4"
"2","all","0-16","2014-2018","10.6"
"2","all","0-16","2015-2019","9.8"
"2","all","0-16","2016-2020","8.4"
"2","all","0-16","2017-2021","9"
"2","all","0-16","2018-2022","8.8"
"3","all","0-16","2008-2012","20"
"3","all","0-16","2009-2013","20.6"
"3","all","0-16","2010-2014","17.8"
"3","all","0-16","2011-2015","16.2"
"3","all","0-16","2012-2016","12.4"
"3","all","0-16","2013-2017","10.8"
"3","all","0-16","2014-2018","9.2"
"3","all","0-16","2015-2019","9.8"
"3","all","0-16","2016-2020","11"
"3","all","0-16","2017-2021","12.2"
"3","all","0-16","2018-2022","14.4"
"4","all","0-16","2008-2012","4.8"
"4","all","0-16","2009-2013","4.6"
"4","all","0-16","2010-2014","4.8"
"4","all","0-16","2011-2015","5.2"
"4","all","0-16","2012-2016","5.4"
"4","all","0-16","2013-2017","5.2"
"4","all","0-16","2014-2018","5"
"4","all","0-16","2015-2019","4.2"
"4","all","0-16","2016-2020","3.8"
"4","all","0-16","2017-2021","3.8"
"4","all","0-16","2018-2022","3.6"
"5","all","0-16","2008-2012","12.8"
"5","all","0-16","2009-2013","12"
"5","all","0-16","2010-2014","10.8"
"5","all","0-16","2011-2015","11.2"
"5","all","0-16","2012-2016","11.4"
"5","all","0-16","2013-2017","11.2"
"5","all","0-16","2014-2018","10.8"
"5","all","0-16","2015-2019","9.6"
"5","all","0-16","2016-2020","8.4"
"5","all","0-16","2017-2021","8.2"
"5","all","0-16","2018-2022","8.2"
"6","all","0-16","2008-2012","2.6"
"6","all","0-16","2009-2013","2"
"6","all","0-16","2010-2014","2"
"6","all","0-16","2011-2015","1.6"
"6","all","0-16","2012-2016","2.2"
"6","all","0-16","2013-2017","2.4"
"6","all","0-16","2014-2018","2.2"
"6","all","0-16","2015-2019","1.4"
"6","all","0-16","2016-2020","2"
"6","all","0-16","2017-2021","1.6"
"6","all","0-16","2018-2022","1.8"
"7","all","0-16","2008-2012","3.6"
"7","all","0-16","2009-2013","3"
"7","all","0-16","2010-2014","3.4"
"7","all","0-16","2011-2015","2.8"
"7","all","0-16","2012-2016","2.6"
"7","all","0-16","2013-2017","2.2"
"7","all","0-16","2014-2018","2"
"7","all","0-16","2015-2019","2.2"
"7","all","0-16","2016-2020","2.4"
"7","all","0-16","2017-2021","2.2"
"7","all","0-16","2018-2022","2.6"
"8","all","0-16","2008-2012","0.6"
"8","all","0-16","2009-2013","0.4"
"8","all","0-16","2010-2014","0.4"
"8","all","0-16","2011-2015","0.4"
"8","all","0-16","2012-2016","0.4"
"8","all","0-16","2013-2017","0.2"
"8","all","0-16","2014-2018","0.6"
"8","all","0-16","2015-2019","0.6"
"8","all","0-16","2016-2020","0.6"
"8","all","0-16","2017-2021","0.6"
"8","all","0-16","2018-2022","0.8"
